,Unnamed: 0,Unnamed: 0.1,labels,text
0,0,0,neutral,"Business Standard: End of coronavirus pandemic is near, says Nobel laureate Michael Levitt.
 https://www.business-standard.com/article/current-affairs/end-of-coronavirus-pandemic-is-near-says-nobel-laureate-michael-levitt-120032400668_1.htmlÂ â¦"
1,1,1,neutral,"Designed By:- The Rohit Sharma
.
#therohitsharmapdt #graphicdesigncommunity #graphicdesign #graphicdesigncentral #inovation #inovativedesign #graphicart #digitalart #digitaldesign #logodesigner #corona #coronavirusâ¦  https://www.instagram.com/p/B-Kq4LhHhPM/?igshid=2akp5zte3uwtÂ â¦"
2,2,2,negative,@AUThackeray Sir thank you so much for All your Care But some of us are still not following order of the time . My neighbours are treating this lockdown as vacation . There relatives staying in nearby areas are frequent visitors and till late night they h
3,3,3,negative,"Indian Govt has not allowed cheap Elisa and rapid test n choosen expensive PCR. Private capped at 4500, not many can afford. 
Strategy, less testing, less cases, Govt looks good. Control thru lockdown. 
But without testing it will not end n may reoccur after lockdown."
4,4,4,negative,Coronavirus killing all the people but beyandh2 killing us with Vikram part please show some positive vibes difficult to see maya in dis conditions that too for 2 weeks #Beyhadh2
5,5,5,neutral,"#StrangerThanFiction
#TheEyesOfDarkness
Now British secret agents James Bond 007 enters in China with his girl friend n solves the death of doctor n gets #Antidose of #Corona n the lock out countries opens to normalcy killing the virus n
#JamesBond0 landed in #TajMahal with girlf pic.twitter.com/Bayyecb9Nc"
6,6,6,positive,"@narendramodi 
Sir there are essential facilities (n95 mask corona kit ) provided by hospital administration to nursing staff on Corona opd duty &no risk cover given to contractual nursing staff"
7,7,7,negative,"me : alright time to sleep
my brain : Top 50 mistakes you've made

#MEMES #nightthoughts #Covid_19india #Quarantine"
8,8,8,negative,Dear Mr president you're already failing with almost 140000 Corona cases in your country.
9,9,9,negative,"@PMOIndia @narendramodi @CMOMaharashtra the communication put out to prevent Covid 19 is wrong, you should not use handkerchief to cover mouth to sneeze or cough as continuous use allows virus to stay on hand and other surfaces the wrong info will lead to"
10,10,10,negative,some psychos r still selling Kerala model in the name of more tests are getting done so show more Corona positive cases r reported
11,11,11,neutral,"Defy Corona By Defying Incapacity,, log on to this page for Corona related useful information.
 https://sites.google.com/view/defying-covid19/home?authuser=0Â â¦"
12,12,12,negative,"For Delhi, the need is Article 356,because Lockdown means Lockdown.Delhi Govt. to Compel the employers to support the workers & stop sending them.
For Rahulji, we request him to take rest, Ajay Maken may be asked to take charge & cooperate with the govt. during this crisis period"
13,13,13,neutral,All politicians  of India  must donate one lakh rupees to corona relief fund
14,14,14,negative,"PM @narendramodi requested with folded hands to the entire nation to support #lockdown for their own health & safety.
Have you ever see any PM who is requesting the country and moreover saying âsorryâ for difficulties that people are facing. 
Salute Sir,We will win #IndiaWithModi"
15,15,15,negative,"""Logon ka toh kaam hai bolna"" What not our govt has done and is doing to save us from Corona,still there are some trying to question the department and trying to find the loopholes."
16,16,16,negative,Canada is not taking seriously .Plz apply the strategy of Mr Modi to combat this pandemic.Shutdown only step to combat corna spread.... canada. Otherwise you can see this in itly or USA Spain. These countries was not taking seriously..  https://twitter.com/JustinTrudeau/status/1244282267914166273Â â¦
17,17,17,negative,So important in this unusual time of a pandemic is to talk about #mentalhealth .... isolation is a big trigger .... and the feeling g of helplessness is spreading like wildfire .... social isolation does not and should not translate to emotional isolation. https://twitter.com/ndtv/status/1244275585561399296Â â¦
18,18,18,negative,"Can some one ever imagine that your city too can become a problem !!

@corona #cityname #CoronaPandemie #coronavirus #BeResponsible #BreakTheChain https://twitter.com/ANINewsUP/status/1244238164891328512Â â¦"
19,19,19,negative,@CMOMaharashtra @OfficeofUT @AUThackeray @CPMumbaiPolice @PMOIndia @narendramodi @mnsadhikrut @ShivSena Can you please help him ? He looks really needy.  https://www.facebook.com/100002505807514/posts/2856295041130661/?sfnsn=wiwspwa&d=w&vh=i&extid=3bteG3E
20,20,20,negative,"Already seeing many posts and predictions over what will be the condition of the #World after we are done with this #Coronavirus pandemic.

People are mostly talking about a dwindling #globaleconomy and human beings in dire consequences. https://www.linkedin.com/posts/rajdeepbhattacharyakolkata_world-coronavirus-globaleconomy-activity-6650095552698646528-zEeEÂ â¦"
21,21,21,neutral,"Please Follow Lockdown Rules.
.
.
#lockdown2020 #lockdown #beathome #besafe #corona #coronavirus #covid_19 #covid #china #italy #spain #germany #india #pakistan #indore #indonesia #brazil #america #usa #countrylivingâ¦  https://www.instagram.com/p/B-U95gTlbeN/?igshid=9rf9j45288qkÂ â¦"
22,22,22,negative,Total #Coronavirus positive cases in Telangana stand at 70 including one discharged and one death: Telangana Health Department.
23,23,23,positive,Seeing #Contagion on @PrimeVideo now! Eerie!!!! Eerily prognostic of what #coronavirus is doing to the world today! Watch n learn... cannot even imagine the post-Corona world...
24,24,24,positive,"Please start #Shaktimam Public demand.
There are lots of children in india not stayed home if you start this program #Shaktiman lots of childrens staying at home so please think on it.
Thank you.

#COVID2019india
#coronavirusindia
#Covid_19
#StayHomeStaySafe
#LetsFightCorona https://twitter.com/DDNational/status/1244327211085094912Â â¦"
25,25,25,neutral,Some things about #Covid_19 #CoronaInPakistan #CoronaUpdate pic.twitter.com/6fcOz1z0dF
26,26,26,neutral,How many days of lockdown and self isolation for you? #Covid_19 #CoronaLockdown
